file,variant,orig_bytes,out_bytes,orig_curve_cmds,out_curve_cmds
beliefs/音.svg,bronze,5192,873,74,54
beliefs/印.svg,oracle,3680,405,13,13
beliefs/犹.svg,oracle,5582,614,22,27
beliefs/瑜.svg,seal,4730,859,29,37
beliefs/育.svg,oracle,4153,660,26,36
beliefs/愈.svg,bronze,4805,689,24,33
beliefs/院.svg,seal,4718,838,26,34
beliefs/造.svg,bronze,7194,1055,75,56
beliefs/泽.svg,seal,5846,1003,28,41
beliefs/责.svg,oracle,4521,631,19,23
beliefs/展.svg,seal,5405,895,24,33
beliefs/战.svg,bronze,6502,1186,56,78
beliefs/沼.svg,seal,4569,818,28,40
beliefs/真.svg,bronze,3426,593,21,27
beliefs/争.svg,oracle,3089,428,16,12
beliefs/正.svg,oracle,3815,790,32,42
beliefs/之.svg,oracle,2598,390,13,13
beliefs/职.svg,bronze,7104,1268,49,69
beliefs/殖.svg,seal,3882,732,22,29
beliefs/治.svg,seal,4796,865,28,38
beliefs/众.svg,oracle,4773,662,27,34
beliefs/主.svg,oracle,2096,578,28,38
beliefs/宗.svg,oracle,3425,482,18,23
buildings/阿.svg,bronze,3879,959,59,65
buildings/埃.svg,seal,3956,553,13,13
buildings/奥.svg,seal,5085,969,28,40
buildings/巴.svg,oracle,3277,402,12,12
buildings/坝.svg,seal,5122,857,28,36
buildings/百.svg,oracle,4796,469,15,18
buildings/板.svg,seal,3588,677,20,24
buildings/邦.svg,oracle,3170,489,16,17
buildings/棒.svg,seal,4743,728,17,19
buildings/宝.svg,oracle,5345,719,26,34
buildings/保.svg,oracle,3679,493,14,15
buildings/堡.svg,oracle,3679,493,14,15
buildings/碑.svg,seal,4696,846,25,34
buildings/贝.svg,oracle,3427,565,18,24
buildings/本.svg,bronze,4377,768,37,42
buildings/比.svg,oracle,4320,760,36,43
buildings/必.svg,oracle,1746,277,12,14
buildings/壁.svg,seal,5744,970,29,37
buildings/避.svg,seal,6512,1072,33,46
buildings/兵.svg,oracle,4481,825,36,50
buildings/病.svg,seal,3713,696,21,26
buildings/波.svg,seal,4978,941,30,45
buildings/播.svg,bronze,4848,1020,45,63
buildings/博.svg,bronze,5726,906,73,51
buildings/布.svg,bronze,2764,457,15,19
buildings/部.svg,seal,4858,809,22,28
buildings/采.svg,oracle,4117,504,15,16
buildings/菜.svg,bronze,4895,1010,61,70
buildings/仓.svg,oracle,3346,552,22,29
buildings/察.svg,bronze,4564,903,55,62
buildings/厂.svg,bronze,1035,269,12,12
buildings/场.svg,seal,3655,686,20,27
buildings/车.svg,oracle,7798,929,32,40
buildings/城.svg,bronze,6863,1217,67,79
buildings/持.svg,bronze,3440,764,31,42
buildings/船.svg,bronze,3164,624,24,30
buildings/达.svg,oracle,4962,878,40,56
buildings/大.svg,oracle,2903,343,12,14
buildings/道.svg,bronze,6684,1069,83,71
buildings/德.svg,oracle,5828,1010,45,61
buildings/灯.svg,seal,6628,1169,41,57
buildings/电.svg,bronze,4120,786,33,51
buildings/殿.svg,bronze,3823,873,55,62
buildings/雕.svg,bronze,17901,1466,82,92
buildings/谍.svg,seal,6659,923,21,24
buildings/定.svg,oracle,3217,537,20,26
buildings/动.svg,bronze,6250,1232,72,85
buildings/斗.svg,oracle,1710,327,12,13
buildings/督.svg,seal,4047,824,28,35
buildings/杜.svg,oracle,3913,490,13,13
buildings/度.svg,oracle,4328,570,20,24
buildings/镀.svg,seal,5449,976,31,46
buildings/顿.svg,seal,5102,833,24,31
buildings/俄.svg,seal,3909,604,13,15
buildings/尔.svg,bronze,4053,756,72,52
buildings/发.svg,oracle,2640,367,15,18
buildings/范.svg,bronze,3088,607,22,32
buildings/方.svg,oracle,1997,301,12,12
buildings/坊.svg,seal,2715,504,15,19
buildings/防.svg,seal,3971,673,21,24
buildings/飞.svg,seal,3550,560,14,12
buildings/菲.svg,seal,4902,753,21,28
buildings/分.svg,oracle,3729,788,36,48
buildings/坟.svg,seal,5101,832,27,35
buildings/佛.svg,seal,3792,701,22,30
buildings/服.svg,oracle,3671,569,23,26
buildings/府.svg,bronze,3665,662,16,16
buildings/港.svg,seal,6878,1209,41,55
buildings/高.svg,oracle,4711,631,25,33
buildings/哥.svg,seal,3335,627,20,25
buildings/歌.svg,bronze,3548,708,24,30
buildings/工.svg,oracle,2634,420,14,15
buildings/宫.svg,oracle,3153,535,19,23
buildings/购.svg,seal,5785,855,27,25
buildings/古.svg,oracle,4733,867,34,44
buildings/谷.svg,oracle,2707,527,25,35
buildings/骨.svg,oracle,2723,369,12,12
buildings/故.svg,bronze,2031,363,13,14
buildings/馆.svg,seal,5037,875,23,30
buildings/管.svg,seal,4210,739,23,29
buildings/广.svg,oracle,4774,687,204,28
buildings/哈.svg,seal,2618,531,21,23
buildings/海.svg,bronze,4642,734,29,43
buildings/罕.svg,seal,3832,688,17,19
buildings/航.svg,seal,3311,641,18,25
buildings/诃.svg,bronze,6473,1172,84,69
buildings/合.svg,oracle,4227,499,20,21
buildings/河.svg,oracle,2673,358,15,20
buildings/核.svg,seal,4773,838,22,29
buildings/赫.svg,seal,5356,985,33,49
buildings/黑.svg,oracle,3131,470,18,18
buildings/很.svg,seal,3302,672,21,29
buildings/洪.svg,seal,5356,978,31,47
buildings/忽.svg,bronze,3179,610,25,33
buildings/笏.svg,seal,3648,654,18,23
buildings/花.svg,seal,4729,783,27,37
buildings/化.svg,oracle,3337,787,41,50
buildings/皇.svg,oracle,4797,628,19,24
buildings/汇.svg,seal,5223,856,23,26
buildings/会.svg,oracle,8247,782,24,31
buildings/火.svg,oracle,4855,702,26,35
buildings/机.svg,seal,2918,579,15,17
buildings/姬.svg,oracle,5451,686,20,22
buildings/基.svg,oracle,4206,566,18,20
buildings/集.svg,oracle,4398,537,17,21
buildings/计.svg,seal,3852,694,22,24
buildings/纪.svg,bronze,2682,717,28,36
buildings/技.svg,seal,4017,620,15,17
buildings/加.svg,bronze,3251,791,56,63
buildings/家.svg,oracle,4396,507,14,16
buildings/甲.svg,oracle,1869,277,12,12
buildings/尖.svg,seal,7873,1242,37,45
buildings/间.svg,bronze,5069,994,44,60
buildings/建.svg,oracle,5820,736,21,26
buildings/箭.svg,bronze,3708,676,24,33
buildings/交.svg,seal,2394,423,14,13
buildings/教.svg,oracle,3957,656,22,32
buildings/斤.svg,oracle,2148,358,14,14
buildings/金.svg,bronze,3715,873,59,67
buildings/津.svg,bronze,5491,889,34,48
buildings/井.svg,oracle,2740,430,13,13
buildings/景.svg,seal,3528,624,20,25
buildings/竞.svg,oracle,6639,979,40,47
buildings/究.svg,bronze,9248,1322,70,78
buildings/旧.svg,oracle,4306,590,16,19
buildings/救.svg,bronze,3892,586,18,23
buildings/巨.svg,bronze,3851,748,37,42
buildings/剧.svg,seal,5224,838,19,23
buildings/军.svg,bronze,5243,976,35,45
buildings/卡.svg,seal,1532,323,13,16
buildings/科.svg,seal,4254,714,16,18
buildings/克.svg,oracle,2329,433,17,21
buildings/空.svg,bronze,3144,477,13,13
buildings/窟.svg,seal,3849,692,19,24
buildings/库.svg,bronze,3525,646,20,23
buildings/扩.svg,seal,6373,1044,30,40
buildings/拉.svg,seal,3459,602,16,18
buildings/兰.svg,seal,6216,895,23,27
buildings/老.svg,oracle,3143,368,12,12
buildings/雷.svg,oracle,4209,629,24,28
buildings/里.svg,bronze,3831,806,32,42
buildings/理.svg,bronze,6160,1105,61,65
buildings/力.svg,oracle,1524,318,13,13
buildings/利.svg,oracle,6256,910,43,65
buildings/炼.svg,seal,4431,873,26,34
buildings/粮.svg,bronze,14211,1566,93,96
buildings/料.svg,bronze,4579,1250,75,94
buildings/烈.svg,seal,4474,881,34,50
buildings/林.svg,oracle,3514,511,15,18
buildings/陵.svg,bronze,4601,1012,62,75
buildings/领.svg,seal,5254,956,30,42
buildings/鲁.svg,oracle,7431,858,26,36
buildings/露.svg,seal,6377,1201,35,46
buildings/伦.svg,seal,4903,818,23,31
buildings/轮.svg,bronze,5827,956,58,61
buildings/马.svg,oracle,6388,692,19,22
buildings/梅.svg,bronze,4235,791,41,48
buildings/煤.svg,seal,5070,893,27,37
buildings/门.svg,oracle,4582,618,22,29
buildings/蒙.svg,bronze,7026,1248,91,83
buildings/弥.svg,bronze,5920,1051,39,53
buildings/米.svg,oracle,2868,610,30,45
buildings/棉.svg,seal,4456,893,28,35
buildings/庙.svg,bronze,4105,900,40,61
buildings/摩.svg,seal,5465,1011,30,48
buildings/磨.svg,seal,7101,1249,44,69
buildings/莫.svg,oracle,5178,981,46,66
buildings/姆.svg,bronze,4016,856,38,51
buildings/木.svg,oracle,2292,330,14,12
buildings/墓.svg,seal,5697,987,26,33
buildings/拿.svg,bronze,30626,2936,159,176
buildings/纳.svg,bronze,3213,772,31,41
buildings/南.svg,oracle,3122,443,16,15
buildings/难.svg,bronze,6275,891,26,35
buildings/尼.svg,seal,2259,494,15,23
buildings/念.svg,oracle,5348,885,32,43
buildings/牛.svg,oracle,2912,769,33,41
buildings/努.svg,seal,4767,748,20,24
buildings/女.svg,oracle,2794,391,14,17
buildings/帕.svg,seal,3009,589,18,20
buildings/佩.svg,bronze,3826,614,19,23
buildings/片.svg,seal,1396,310,13,13
buildings/屏.svg,seal,4691,748,18,22
buildings/菩.svg,seal,5101,782,20,24
buildings/葡.svg,oracle,8408,737,22,22
buildings/普.svg,seal,3990,696,24,30
buildings/齐.svg,oracle,3387,550,21,28
buildings/其.svg,oracle,6171,586,20,20
buildings/奇.svg,seal,3173,615,19,25
buildings/墙.svg,oracle,6051,807,29,41
buildings/桥.svg,seal,5389,912,26,34
buildings/琴.svg,seal,4507,874,24,34
buildings/清.svg,bronze,11832,1321,80,83
buildings/丘.svg,oracle,3848,609,21,33
buildings/区.svg,oracle,4725,706,24,31
buildings/圈.svg,seal,6308,1096,30,44
buildings/泉.svg,oracle,4682,767,30,43
buildings/券.svg,seal,5122,896,29,40
buildings/燃.svg,bronze,5215,859,32,40
buildings/人.svg,oracle,1900,267,12,12
buildings/萨.svg,seal,5101,782,20,24
buildings/塞.svg,oracle,6051,740,30,44
buildings/桑.svg,oracle,2591,407,12,12
buildings/扫.svg,bronze,7174,1521,103,131
buildings/森.svg,oracle,4525,659,18,22
buildings/山.svg,oracle,6901,852,35,53
buildings/社.svg,bronze,5337,977,81,67
buildings/神.svg,bronze,6081,999,78,62
buildings/生.svg,oracle,2014,365,12,12
buildings/圣.svg,oracle,4564,493,12,12
buildings/师.svg,oracle,2235,358,14,17
buildings/石.svg,oracle,1691,302,13,15
buildings/实.svg,bronze,6286,804,26,31
buildings/使.svg,oracle,3700,503,15,16
buildings/士.svg,bronze,3565,675,66,42
buildings/世.svg,bronze,3805,661,66,40
buildings/市.svg,oracle,3562,628,25,36
buildings/事.svg,oracle,3432,446,14,15
buildings/室.svg,oracle,4274,617,19,28
buildings/兽.svg,oracle,5731,727,24,28
buildings/书.svg,bronze,4196,591,16,20
buildings/术.svg,oracle,2566,433,18,25
buildings/树.svg,oracle,4250,528,17,21
buildings/水.svg,oracle,3839,504,24,32
buildings/斯.svg,bronze,4725,1033,64,73
buildings/死.svg,oracle,5746,532,16,22
buildings/四.svg,oracle,2502,521,21,33
buildings/寺.svg,bronze,2615,433,15,17
buildings/苏.svg,bronze,8515,1194,84,64
buildings/所.svg,bronze,3725,974,60,69
buildings/索.svg,oracle,5497,547,18,20
buildings/塔.svg,seal,4938,807,25,33
buildings/太.svg,seal,2222,484,15,18
buildings/泰.svg,seal,2222,484,15,18
buildings/堂.svg,bronze,4490,1054,64,75
buildings/萄.svg,seal,5272,769,18,22
buildings/忒.svg,seal,3559,535,15,17
buildings/特.svg,seal,4426,755,18,25
buildings/提.svg,seal,4072,698,20,24
buildings/体.svg,bronze,6148,944,36,45
buildings/天.svg,oracle,3424,674,29,37
buildings/铁.svg,seal,5554,1026,31,43
buildings/厅.svg,bronze,3314,581,20,24
buildings/亭.svg,bronze,2662,772,56,62
buildings/同.svg,oracle,3854,593,19,23
